Newcastle City Council Invoices over £250 paid in February 2016,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838065,Revenue,1MG40,Direct Payments OP,911.04,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837983,Revenue,1MK43,Carers Support Payments LD,"1,525.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838125,Revenue,1MG43,Carers Support Payments OP,"1,125.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838086,Revenue,1MG40,Direct Payments OP,272.56,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837846,Revenue,1MG40,Direct Payments OP,856.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837725,Revenue,1MG40,Direct Payments OP,770.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838072,Revenue,1MG40,Direct Payments OP,530.12,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837967,Revenue,1MG43,Carers Support Payments OP,"1,200.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837635,Revenue,1MK40,Direct Payments LD,"7,104.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838117,Revenue,1MG43,Carers Support Payments OP,"1,250.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837878,Revenue,1MK40,Direct Payments LD,365.84,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837558,Revenue,1MH40,Direct Payments PD,"4,810.56",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838035,Revenue,1MK40,Direct Payments LD,450.84,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837773,Revenue,1MK40,Direct Payments LD,282.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837807,Revenue,1MG43,Carers Support Payments OP,800.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837677,Revenue,1MK40,Direct Payments LD,"1,735.68",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837584,Revenue,1MK40,Direct Payments LD,"3,254.92",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837627,Revenue,1MK40,Direct Payments LD,660.48,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838260,Revenue,1MG43,Carers Support Payments OP,"1,980.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838075,Revenue,1MH40,Direct Payments PD,378.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837911,Revenue,1MH40,Direct Payments PD,396.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837904,Revenue,1MG43,Carers Support Payments OP,700.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838182,Revenue,1MM40,Direct Payments MH,365.80,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837960,Revenue,1MD66,CWD Care Packages,253.84,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837614,Revenue,1MD66,CWD Care Packages,522.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837714,Revenue,1MK40,Direct Payments LD,"1,198.40",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837902,Revenue,1MK40,Direct Payments LD,"2,730.56",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838215,Revenue,1MK43,Carers Support Payments LD,500.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838189,Revenue,1MG40,Direct Payments OP,"2,787.12",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838183,Revenue,1MD66,CWD Care Packages,301.12,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838191,Revenue,1MK40,Direct Payments LD,295.20,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838049,Revenue,1MK40,Direct Payments LD,560.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837720,Revenue,1MD66,CWD Care Packages,"2,130.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838005,Revenue,1MG43,Carers Support Payments OP,300.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838079,Revenue,1MG40,Direct Payments OP,422.56,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837737,Revenue,1MK40,Direct Payments LD,845.16,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837559,Revenue,1MH40,Direct Payments PD,"16,358.64",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837585,Revenue,1MH40,Direct Payments PD,"1,940.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837766,Revenue,1MH40,Direct Payments PD,428.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837795,Revenue,1MK40,Direct Payments LD,334.32,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837693,Revenue,1MK40,Direct Payments LD,535.60,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837789,Revenue,1MK40,Direct Payments LD,621.48,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837740,Revenue,1MG40,Direct Payments OP,751.52,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838013,Revenue,1MK40,Direct Payments LD,492.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837860,Revenue,1MH40,Direct Payments PD,293.36,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837973,Revenue,1MK43,Carers Support Payments LD,"1,525.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837949,Revenue,1MD66,CWD Care Packages,346.44,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837938,Revenue,1MK43,Carers Support Payments LD,300.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837892,Revenue,1MK43,Carers Support Payments LD,"1,400.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837731,Revenue,1MH40,Direct Payments PD,"4,664.44",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838185,Revenue,1MH40,Direct Payments PD,280.52,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838126,Revenue,1MG43,Carers Support Payments OP,925.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837748,Revenue,1MK40,Direct Payments LD,268.16,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838222,Revenue,1MG43,Carers Support Payments OP,"1,025.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838213,Revenue,1MK40,Direct Payments LD,"2,956.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838022,Revenue,1MD66,CWD Care Packages,435.36,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838114,Revenue,1MH43,Carers Support Payments PD,"1,325.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837969,Revenue,1MG43,Carers Support Payments OP,500.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838164,Revenue,1MG43,Carers Support Payments OP,"2,953.92",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837653,Revenue,1MG40,Direct Payments OP,435.56,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837583,Revenue,1MM40,Direct Payments MH,734.28,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837823,Revenue,1MK43,Carers Support Payments LD,400.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837634,Revenue,1MD66,CWD Care Packages,"1,407.84",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837943,Revenue,1MK40,Direct Payments LD,416.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838093,Revenue,1MK40,Direct Payments LD,502.84,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838225,Revenue,1MK40,Direct Payments LD,571.20,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837575,Revenue,1MH40,Direct Payments PD,560.60,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838077,Revenue,1MK40,Direct Payments LD,333.12,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838034,Revenue,1MD66,CWD Care Packages,615.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837820,Revenue,1MK40,Direct Payments LD,"4,940.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838043,Revenue,1MH40,Direct Payments PD,"1,103.32",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837940,Revenue,1MD66,CWD Care Packages,433.20,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837669,Revenue,1MK40,Direct Payments LD,444.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838172,Revenue,1MK40,Direct Payments LD,"1,263.52",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838002,Revenue,1MK40,Direct Payments LD,492.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837925,Revenue,1MH40,Direct Payments PD,548.68,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837962,Revenue,1MK40,Direct Payments LD,596.20,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837806,Revenue,1MK40,Direct Payments LD,484.08,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837780,Revenue,1MK40,Direct Payments LD,"1,186.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837815,Revenue,1MK40,Direct Payments LD,621.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837782,Revenue,1MG40,Direct Payments OP,522.72,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837794,Revenue,1MK40,Direct Payments LD,380.72,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837589,Revenue,1MK40,Direct Payments LD,"1,829.48",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837767,Revenue,1MD66,CWD Care Packages,350.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837570,Revenue,1MD66,CWD Care Packages,264.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837790,Revenue,1MK40,Direct Payments LD,851.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837661,Revenue,1MH40,Direct Payments PD,"6,076.84",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838124,Revenue,1MK40,Direct Payments LD,"17,144.56",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838253,Revenue,1MK40,Direct Payments LD,471.36,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837928,Revenue,1MD66,CWD Care Packages,"1,889.36",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838010,Revenue,1MD66,CWD Care Packages,265.12,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838044,Revenue,1MD66,CWD Care Packages,333.44,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838050,Revenue,1MK40,Direct Payments LD,"1,841.60",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838155,Revenue,1MH43,Carers Support Payments PD,300.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838242,Revenue,1MH40,Direct Payments PD,400.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837836,Revenue,1MK40,Direct Payments LD,552.76,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837869,Revenue,1MH40,Direct Payments PD,684.80,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837679,Revenue,1MK40,Direct Payments LD,874.48,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837668,Revenue,1MD66,CWD Care Packages,450.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838245,Revenue,1MG43,Carers Support Payments OP,"1,850.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837606,Revenue,1MH40,Direct Payments PD,"1,414.68",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837870,Revenue,1MK40,Direct Payments LD,494.32,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838190,Revenue,1MG43,Carers Support Payments OP,"1,025.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837704,Revenue,1MK40,Direct Payments LD,"4,536.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838186,Revenue,1MH43,Carers Support Payments PD,"1,575.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837772,Revenue,1MK40,Direct Payments LD,539.92,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837588,Revenue,1MK40,Direct Payments LD,352.24,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837873,Revenue,1MK43,Carers Support Payments LD,600.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837620,Revenue,1MK40,Direct Payments LD,275.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838127,Revenue,1MG43,Carers Support Payments OP,400.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837657,Revenue,1MD66,CWD Care Packages,267.48,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838205,Revenue,1MD66,CWD Care Packages,363.52,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838040,Revenue,1MG40,Direct Payments OP,"1,937.32",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837948,Revenue,1MG40,Direct Payments OP,348.24,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838176,Revenue,1MG40,Direct Payments OP,980.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837975,Revenue,1MK40,Direct Payments LD,577.20,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837920,Revenue,1MK40,Direct Payments LD,882.60,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837841,Revenue,1MK40,Direct Payments LD,303.36,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837568,Revenue,1MG40,Direct Payments OP,"1,455.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837667,Revenue,1MD66,CWD Care Packages,648.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838006,Revenue,1MG43,Carers Support Payments OP,"1,325.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837638,Revenue,1MK40,Direct Payments LD,"2,080.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837729,Revenue,1MK40,Direct Payments LD,"1,440.92",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838119,Revenue,1MH43,Carers Support Payments PD,"1,325.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837642,Revenue,1MH40,Direct Payments PD,770.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838008,Revenue,1MG40,Direct Payments OP,266.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838435,Revenue,1MG20,Residential Care OP,"4,988,683.36",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838435,Revenue,1MH20,Residential Care PD,"67,414.64",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837903,Revenue,1MH40,Direct Payments PD,440.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837988,Revenue,1MG43,Carers Support Payments OP,725.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837897,Revenue,1MD66,CWD Care Packages,500.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837632,Revenue,1MK40,Direct Payments LD,322.64,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838118,Revenue,1MG40,Direct Payments OP,"7,111.50",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838224,Revenue,1MD66,CWD Care Packages,461.56,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838137,Revenue,1MG43,Carers Support Payments OP,"1,450.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837745,Revenue,1MK40,Direct Payments LD,990.64,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837761,Revenue,1MD66,CWD Care Packages,256.80,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838103,Revenue,1MG43,Carers Support Payments OP,"1,850.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837703,Revenue,1MH40,Direct Payments PD,"5,000.24",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837703,Revenue,1MK40,Direct Payments LD,"5,000.24",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837595,Revenue,1MK40,Direct Payments LD,"2,702.36",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837611,Revenue,1MK40,Direct Payments LD,"8,515.84",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837695,Revenue,1MM40,Direct Payments MH,406.80,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838038,Revenue,1MG40,Direct Payments OP,254.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837965,Revenue,1MK43,Carers Support Payments LD,725.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838068,Revenue,1MG40,Direct Payments OP,614.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837696,Revenue,1MH40,Direct Payments PD,523.52,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837682,Revenue,1MK40,Direct Payments LD,513.60,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837587,Revenue,1MD66,CWD Care Packages,769.24,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837643,Revenue,1MK40,Direct Payments LD,"3,307.24",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837579,Revenue,1MH40,Direct Payments PD,555.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837762,Revenue,1MK40,Direct Payments LD,910.32,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837775,Revenue,1MK40,Direct Payments LD,395.08,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837732,Revenue,1MK40,Direct Payments LD,428.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837628,Revenue,1MK40,Direct Payments LD,310.04,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838154,Revenue,1MG43,Carers Support Payments OP,925.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837918,Revenue,1MG40,Direct Payments OP,"8,666.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838064,Revenue,1MG40,Direct Payments OP,883.28,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837821,Revenue,1MG40,Direct Payments OP,746.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838142,Revenue,1MG40,Direct Payments OP,794.77,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837723,Revenue,1MH40,Direct Payments PD,"6,852.56",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838136,Revenue,1MG43,Carers Support Payments OP,"1,650.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837866,Revenue,1MG40,Direct Payments OP,396.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837706,Revenue,1MD66,CWD Care Packages,285.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837764,Revenue,1MG40,Direct Payments OP,867.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837577,Revenue,1MH40,Direct Payments PD,"13,059.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837707,Revenue,1MK40,Direct Payments LD,328.76,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838235,Revenue,1MH40,Direct Payments PD,"1,806.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838042,Revenue,1MG40,Direct Payments OP,343.72,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837753,Revenue,1MD66,CWD Care Packages,584.88,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838168,Revenue,1MH40,Direct Payments PD,"1,582.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837862,Revenue,1MH40,Direct Payments PD,370.04,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837644,Revenue,1MH40,Direct Payments PD,273.36,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837609,Revenue,1MK40,Direct Payments LD,307.72,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838139,Revenue,1MG43,Carers Support Payments OP,"1,325.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6838106,Revenue,1MM40,Direct Payments MH,363.23,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,Redacted Personal Data,6837857,Revenue,1MH40,Direct Payments PD,270.00,
